Line	File Name	Source Function Name	Binary Address	Binary Function Name	Matching Rule \ Information
0236	loadlib	findfile	0x140482F60	sub_140482F60	Agent - File-unique string / const
0237	loadlib	loaderror	0x1404830E0	sub_1404830E0	Anchor - Complex unique string / const
0238	loadlib	loader_Lua	0x140483140	sub_140483140	Neighbour matching
0239	loadlib	mkfuncname	0x1404831A0	sub_1404831A0	Single caller (xref) option
0240	loadlib	loader_C	0x140483210	sub_140483210	Neighbour matching
0241	loadlib	loader_Croot	0x140483290	sub_140483290	Agent - File-unique string / const
0242	loadlib	loader_preload	0x140483360	sub_140483360	Anchor - Complex unique string / const
0243	loadlib	ll_require	0x1404833F0	sub_1404833F0	Anchor - Complex unique string / const
0244	loadlib	setfenv	0x140483630	sub_140483630	Agent - File-unique string / const
0245	loadlib	dooptions	N/A	N/A	ifdeffed out / inlined
0246	loadlib	modinit	0x1404836E0	sub_1404836E0	Neighbour matching
0247	loadlib	ll_module	0x140483780	sub_140483780	Agent - File-unique string / const
0248	loadlib	ll_seeall	0x1404838E0	sub_1404838E0	Neighbour matching
0249	loadlib	setpath	N/A	N/A	ifdeffed out / inlined
0250	loadlib	luaopen_package	0x140483960	sub_140483960	Agent - File-unique string / const
0251	lobject	luaO_int2fb	0x140478D60	sub_140478D60	Neighbour matching
0252	lobject	luaO_fb2int	0x140478D90	sub_140478D90	Single called (xref) option
0253	lobject	luaO_log2	0x140478DB0	sub_140478DB0	Single called (xref) option
0254	lobject	luaO_rawequalObj	0x140478DE0	sub_140478DE0	Single called (xref) option
0255	lobject	luaO_str2d	0x140478E50	sub_140478E50	Single called (xref) option
0256	lobject	pushstr	0x140478F20	sub_140478F20	Neighbour matching
0257	lobject	luaO_pushvfstring	0x140478F90	sub_140478F90	Score-based Matching
0258	lobject	luaO_pushfstring	0x140479400	sub_140479400	Single called (xref) option
0259	lobject	luaO_chunkid	0x140479430	sub_140479430	Single called (xref) option
0260	lparser	anchor_token	N/A	N/A	ifdeffed out / inlined
0261	lparser	error_expected	N/A	N/A	ifdeffed out / inlined
0262	lparser	errorlimit	N/A	N/A	ifdeffed out / inlined
0263	lparser	testnext	N/A	N/A	ifdeffed out / inlined
0264	lparser	check	N/A	N/A	ifdeffed out / inlined
0265	lparser	checknext	N/A	N/A	ifdeffed out / inlined
0266	lparser	check_match	0x140488220	sub_140488220	Agent - File-unique string / const
0267	lparser	str_checkname	N/A	N/A	ifdeffed out / inlined
0268	lparser	init_exp	N/A	N/A	ifdeffed out / inlined
0269	lparser	codestring	N/A	N/A	ifdeffed out / inlined
0270	lparser	checkname	N/A	N/A	ifdeffed out / inlined
0271	lparser	registerlocalvar	0x1404882E0	sub_1404882E0	Agent - File-unique string / const
0272	lparser	new_localvar	0x1404883C0	sub_1404883C0	Neighbour matching
0273	lparser	adjustlocalvars	N/A	N/A	ifdeffed out / inlined
0274	lparser	removevars	N/A	N/A	ifdeffed out / inlined
0275	lparser	indexupvalue	0x140488480	sub_140488480	Score-based Matching
0276	lparser	searchvar	N/A	N/A	ifdeffed out / inlined
0277	lparser	markupval	N/A	N/A	ifdeffed out / inlined
0278	lparser	singlevaraux	0x140488620	sub_140488620	Last (referenced) function in file
0279	lparser	singlevar	0x140488760	sub_140488760	Single called (xref) option
0280	lparser	adjust_assign	N/A	N/A	ifdeffed out / inlined
0281	lparser	enterlevel	N/A	N/A	ifdeffed out / inlined
0282	lparser	enterblock	N/A	N/A	ifdeffed out / inlined
0283	lparser	leaveblock	0x1404887F0	sub_1404887F0	Single called (xref) option
0284	lparser	pushclosure	0x140488890	sub_140488890	Neighbour matching
0285	lparser	open_func	0x1404889F0	sub_1404889F0	Single caller (xref) option
0286	lparser	close_func	0x140488AF0	sub_140488AF0	Single called (xref) option
0287	lparser	field	0x140488D20	sub_140488D20	Single called (xref) option
0288	lparser	yindex	N/A	N/A	ifdeffed out / inlined
0289	lparser	recfield	N/A	N/A	ifdeffed out / inlined
0290	lparser	closelistfield	N/A	N/A	ifdeffed out / inlined
0291	lparser	lastlistfield	N/A	N/A	ifdeffed out / inlined
0292	lparser	listfield	0x140488DE0	sub_140488DE0	Neighbour matching
0293	lparser	constructor	0x140488FE0	sub_140488FE0	Neighbour matching
0294	lparser	parlist	0x1404892E0	sub_1404892E0	Agent - File-unique string / const
0295	lparser	body	0x140489410	sub_140489410	Neighbour matching
0296	lparser	explist1	N/A	N/A	ifdeffed out / inlined
0297	lparser	funcargs	0x140489580	sub_140489580	Anchor - Complex unique string / const
0298	lparser	prefixexp	0x140489710	sub_140489710	Neighbour matching
0299	lparser	primaryexp	0x1404897A0	sub_1404897A0	Neighbour matching
0300	lparser	simpleexp	0x140489A70	sub_140489A70	Agent - File-unique string / const
0301	lparser	getunopr	N/A	N/A	ifdeffed out / inlined
0302	lparser	getbinopr	0x140489D30	sub_140489D30	Neighbour matching
0303	lparser	subexpr	0x140489EF0	sub_140489EF0	Single called (xref) option
0304	lparser	expr	N/A	N/A	ifdeffed out / inlined
0305	lparser	block_follow	N/A	N/A	ifdeffed out / inlined
0306	lparser	block	0x14048A040	sub_14048A040	Single caller (xref) option
0307	lparser	check_conflict	N/A	N/A	ifdeffed out / inlined
0308	lparser	assignment	0x14048A090	sub_14048A090	Anchor - Complex unique string / const
0309	lparser	cond	N/A	N/A	ifdeffed out / inlined
0310	lparser	breakstat	0x14048A370	sub_14048A370	Neighbour matching
0311	lparser	whilestat	0x14048A400	sub_14048A400	Score-based Matching
0312	lparser	repeatstat	0x14048A570	sub_14048A570	Score-based Matching
0313	lparser	exp1	N/A	N/A	ifdeffed out / inlined
0314	lparser	forbody	0x14048A6C0	sub_14048A6C0	Neighbour matching
0315	lparser	fornum	0x14048A8E0	sub_14048A8E0	Agent - File-unique string / const
0316	lparser	forlist	0x14048AAD0	sub_14048AAD0	Agent - File-unique string / const
0317	lparser	forstat	0x14048AD20	sub_14048AD20	Agent - File-unique string / const
0318	lparser	test_then_block	0x14048AE30	sub_14048AE30	Neighbour matching
0319	lparser	ifstat	0x14048AF10	sub_14048AF10	Score-based Matching
0320	lparser	localfunc	0x14048B040	sub_14048B040	Neighbour matching
0321	lparser	localstat	0x14048B150	sub_14048B150	Score-based Matching
0322	lparser	funcname	N/A	N/A	ifdeffed out / inlined
0323	lparser	funcstat	0x14048B300	sub_14048B300	Single called (xref) option
0324	lparser	exprstat	N/A	N/A	ifdeffed out / inlined
0325	lparser	retstat	0x14048B4B0	sub_14048B4B0	Neighbour matching
0326	lparser	statement	0x14048B5D0	sub_14048B5D0	Score-based Matching
0327	lparser	chunk	0x14048B7E0	sub_14048B7E0	Neighbour matching
0328	lparser	luaY_parser	0x14048B880	sub_14048B880	Single called (xref) option
0329	lstate	stack_init	0x1404775C0	sub_1404775C0	Single called (xref) option
0330	lstate	freestack	N/A	N/A	ifdeffed out / inlined
0331	lstate	f_luaopen	0x140477670	sub_140477670	Single caller (xref) option
0332	lstate	preinit_state	N/A	N/A	ifdeffed out / inlined
0333	lstate	close_state	0x140477720	sub_140477720	Single called (xref) option
0334	lstate	luaE_newthread	0x1404777D0	sub_1404777D0	Single called (xref) option
0335	lstate	luaE_freethread	0x1404778B0	sub_1404778B0	Score-based Matching
0336	lstate	lua_newstate	0x140477920	sub_140477920	Score-based Matching
0337	lstate	callallgcTM	0x140477AF0	sub_140477AF0	Last (referenced) function in file
0338	lstate	lua_close	0x140477B00	sub_140477B00	Score-based Matching
0339	lstring	luaS_resize	0x14047CBE0	sub_14047CBE0	Single called (xref) option
0340	lstring	newlstr	0x14047CCD0	sub_14047CCD0	Neighbour matching
0341	lstring	luaS_newlstr	0x14047CDB0	sub_14047CDB0	Single called (xref) option
0342	lstring	luaS_newudata	0x14047CEA0	sub_14047CEA0	Neighbour matching
0343	lstrlib	str_len	0x14047FD90	sub_14047FD90	Score-based Matching
0344	lstrlib	posrelat	N/A	N/A	ifdeffed out / inlined
0345	lstrlib	str_sub	0x14047FDC0	sub_14047FDC0	Score-based Matching
0346	lstrlib	str_reverse	0x14047FEA0	sub_14047FEA0	Neighbour matching
0347	lstrlib	str_lower	0x14047FF70	sub_14047FF70	Last (referenced) function in file
0348	lstrlib	str_upper	0x140480030	sub_140480030	Neighbour matching
0349	lstrlib	str_rep	0x1404800F0	sub_1404800F0	Neighbour matching
0350	lstrlib	str_byte	0x1404801A0	sub_1404801A0	Agent - File-unique string / const
0351	lstrlib	str_char	0x1404802B0	sub_1404802B0	Neighbour matching
0352	lstrlib	writer	0x140480390	sub_140480390	Neighbour matching
0353	lstrlib	str_dump	0x1404803B0	sub_1404803B0	Agent - File-unique string / const
0354	lstrlib	check_capture	N/A	N/A	ifdeffed out / inlined
0355	lstrlib	capture_to_close	N/A	N/A	ifdeffed out / inlined
0356	lstrlib	classend	0x140480450	sub_140480450	Anchor - Complex unique string / const
0357	lstrlib	match_class	0x1404804F0	sub_1404804F0	Neighbour matching
0358	lstrlib	matchbracketclass	0x140480650	sub_140480650	Score-based Matching
0359	lstrlib	singlematch	N/A	N/A	ifdeffed out / inlined
0360	lstrlib	matchbalance	0x140480710	sub_140480710	Score-based Matching
0361	lstrlib	max_expand	0x1404807B0	sub_1404807B0	Score-based Matching
0362	lstrlib	min_expand	0x140480880	sub_140480880	Score-based Matching
0363	lstrlib	start_capture	0x140480940	sub_140480940	Score-based Matching
0364	lstrlib	end_capture	0x1404809D0	sub_1404809D0	Single called (xref) option
0365	lstrlib	match_capture	0x140480A80	sub_140480A80	Neighbour matching
